dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
1936-04-01,15.069,0.454,Zhejiang,China
1936-05-01,18.912,0.424,Zhejiang,China
1936-06-01,24.538,0.251,Zhejiang,China
1936-07-01,27.272,0.375,Zhejiang,China
1936-08-01,26.968000000000004,0.488,Zhejiang,China
1936-09-01,23.488000000000003,0.52,Zhejiang,China
1936-10-01,18.122,0.447,Zhejiang,China
1936-11-01,12.868,0.394,Zhejiang,China
1936-12-01,7.252000000000001,0.302,Zhejiang,China
1937-01-01,5.759,0.475,Zhejiang,China
1937-02-01,6.5200000000000005,0.289,Zhejiang,China
1937-03-01,9.891,0.43,Zhejiang,China
1937-04-01,15.703,0.368,Zhejiang,China
1937-05-01,20.522,0.338,Zhejiang,China
1937-06-01,22.854,0.3,Zhejiang,China
1937-07-01,27.927,0.7140000000000001,Zhejiang,China
1937-08-01,26.8,0.493,Zhejiang,China
1937-09-01,24.147,0.289,Zhejiang,China
1937-10-01,18.645,0.358,Zhejiang,China
1937-11-01,12.77,0.484,Zhejiang,China
1937-12-01,7.659,0.535,Zhejiang,China
1938-01-01,4.433999999999998,0.444,Zhejiang,China
1938-02-01,5.9,0.425,Zhejiang,China
1938-03-01,9.975,0.255,Zhejiang,China
1938-04-01,16.833,0.505,Zhejiang,China
1938-05-01,21.598000000000003,0.675,Zhejiang,China
1938-06-01,25.021,0.93,Zhejiang,China
1938-07-01,27.449,0.475,Zhejiang,China
1938-08-01,27.076999999999998,0.466,Zhejiang,China
1938-09-01,23.405,0.331,Zhejiang,China
1938-10-01,20.085,0.308,Zhejiang,China
1938-11-01,12.289000000000001,0.42,Zhejiang,China
1938-12-01,8.442,0.3720000000000001,Zhejiang,China
1939-01-01,5.549,0.339,Zhejiang,China
1939-02-01,6.9670000000000005,0.485,Zhejiang,China
1939-03-01,10.677999999999999,0.301,Zhejiang,China
1939-04-01,14.546,0.195,Zhejiang,China
1939-05-01,20.189,0.221,Zhejiang,China
1939-06-01,24.251,0.443,Zhejiang,China
1939-07-01,26.574,0.241,Zhejiang,China
1939-08-01,26.866999999999997,0.235,Zhejiang,China
1939-09-01,23.089000000000002,0.514,Zhejiang,China
1939-10-01,18.567,0.35,Zhejiang,China
1939-11-01,12.823,0.34700000000000003,Zhejiang,China
1939-12-01,6.43,0.414,Zhejiang,China
1940-01-01,5.234,0.513,Zhejiang,China
1940-02-01,6.562,0.363,Zhejiang,China
1940-03-01,9.531,0.28600000000000003,Zhejiang,China
1940-04-01,15.087,0.455,Zhejiang,China
1940-05-01,19.725,0.415,Zhejiang,China
1940-06-01,23.743000000000002,0.279,Zhejiang,China
1940-07-01,27.735,0.353,Zhejiang,China
1940-08-01,26.879,0.407,Zhejiang,China
1940-09-01,23.259,0.279,Zhejiang,China
1940-10-01,18.383,0.411,Zhejiang,China
1940-11-01,13.273,0.379,Zhejiang,China
1940-12-01,8.619,0.35,Zhejiang,China
1941-01-01,6.954,0.456,Zhejiang,China
1941-02-01,7.136,0.35200000000000004,Zhejiang,China
1941-03-01,11.197000000000001,0.245,Zhejiang,China
1941-04-01,15.610999999999999,0.318,Zhejiang,China
1941-05-01,20.715,0.279,Zhejiang,China
1941-06-01,24.616,0.362,Zhejiang,China
1941-07-01,26.449,0.5489999999999999,Zhejiang,China
1941-08-01,26.995,0.373,Zhejiang,China
1941-09-01,22.595,0.307,Zhejiang,China
1941-10-01,18.446,0.29,Zhejiang,China
1941-11-01,13.155,0.325,Zhejiang,China
1941-12-01,8.852,0.479,Zhejiang,China
1942-01-01,4.753,0.393,Zhejiang,China
1942-02-01,5.112,0.417,Zhejiang,China
1942-03-01,12.441,0.275,Zhejiang,China
1942-04-01,15.763,0.29600000000000004,Zhejiang,China
1942-05-01,20.0,0.386,Zhejiang,China
1942-06-01,23.953000000000003,0.507,Zhejiang,China
1942-07-01,28.307,0.42,Zhejiang,China
1942-08-01,27.880000000000006,0.55,Zhejiang,China
1942-09-01,23.921,0.416,Zhejiang,China
1942-10-01,18.372,0.338,Zhejiang,China
1942-11-01,13.243,0.321,Zhejiang,China
1942-12-01,6.255,0.34,Zhejiang,China
1943-01-01,3.954,0.773,Zhejiang,China
1943-02-01,6.156000000000001,0.529,Zhejiang,China
1943-03-01,11.274,0.56,Zhejiang,China
1943-04-01,15.182,0.578,Zhejiang,China
1943-05-01,20.888,0.223,Zhejiang,China
1943-06-01,23.677,0.544,Zhejiang,China
1943-07-01,26.43,0.519,Zhejiang,China
1943-08-01,26.945,0.361,Zhejiang,China
1943-09-01,23.973000000000003,0.368,Zhejiang,China
1943-10-01,18.37,0.333,Zhejiang,China
1943-11-01,13.322000000000001,0.327,Zhejiang,China
1943-12-01,8.499,0.377,Zhejiang,China
1944-01-01,6.8020000000000005,0.292,Zhejiang,China
1944-02-01,6.082000000000001,0.355,Zhejiang,China
1944-03-01,10.093,0.46,Zhejiang,China
1944-04-01,15.05,0.384,Zhejiang,China
1944-05-01,20.215999999999998,0.401,Zhejiang,China
1944-06-01,24.065,0.29600000000000004,Zhejiang,China
1944-07-01,28.371,0.35100000000000003,Zhejiang,China
1944-08-01,27.164,0.276,Zhejiang,China
1944-09-01,24.564,0.317,Zhejiang,China
1944-10-01,18.615,0.557,Zhejiang,China
1944-11-01,14.43,0.525,Zhejiang,China
1944-12-01,4.047,0.925,Zhejiang,China
1945-01-01,3.4330000000000003,0.354,Zhejiang,China
1945-02-01,3.469,0.77,Zhejiang,China
1945-03-01,10.149,0.479,Zhejiang,China
1945-04-01,15.863,0.444,Zhejiang,China
1945-05-01,19.340999999999998,0.329,Zhejiang,China
1945-06-01,24.577,1.02,Zhejiang,China
1945-07-01,27.639,0.284,Zhejiang,China
1945-08-01,27.296000000000006,0.228,Zhejiang,China
1945-09-01,24.362,0.562,Zhejiang,China
1945-10-01,16.963,0.636,Zhejiang,China
1945-11-01,15.337,0.502,Zhejiang,China
1945-12-01,7.405,0.382,Zhejiang,China
1946-01-01,6.898,0.313,Zhejiang,China
1946-02-01,8.405000000000001,0.483,Zhejiang,China
1946-03-01,10.226,0.585,Zhejiang,China
1946-04-01,17.521,1.01,Zhejiang,China
1946-05-01,20.195,0.278,Zhejiang,China
1946-06-01,25.12,0.329,Zhejiang,China
1946-07-01,26.917,0.274,Zhejiang,China
1946-08-01,27.995,0.633,Zhejiang,China
1946-09-01,25.272,0.57,Zhejiang,China
1946-10-01,17.727999999999994,0.604,Zhejiang,China
1946-11-01,14.099,0.325,Zhejiang,China
1946-12-01,6.327999999999999,0.8009999999999999,Zhejiang,China
1947-01-01,6.176,0.7070000000000001,Zhejiang,China
1947-02-01,4.081,0.411,Zhejiang,China
1947-03-01,10.390999999999998,0.5760000000000001,Zhejiang,China
1947-04-01,15.285,0.5670000000000001,Zhejiang,China
1947-05-01,19.977,0.509,Zhejiang,China
1947-06-01,22.95,0.489,Zhejiang,China
1947-07-01,27.949,0.614,Zhejiang,China
1947-08-01,27.789,0.41,Zhejiang,China
1947-09-01,24.521,0.319,Zhejiang,China
1947-10-01,16.599,0.574,Zhejiang,China
1947-11-01,13.193,0.366,Zhejiang,China
1947-12-01,6.563,0.606,Zhejiang,China
1948-01-01,4.425,0.513,Zhejiang,China
1948-02-01,7.151,0.37,Zhejiang,China
1948-03-01,10.819,0.343,Zhejiang,China
1948-04-01,16.444000000000003,0.389,Zhejiang,China
1948-05-01,19.599,0.605,Zhejiang,China
1948-06-01,24.278000000000002,0.629,Zhejiang,China
1948-07-01,27.087,0.393,Zhejiang,China
1948-08-01,27.741000000000003,0.509,Zhejiang,China
1948-09-01,24.454,0.595,Zhejiang,China
1948-10-01,18.435,0.7120000000000001,Zhejiang,China
1948-11-01,11.558,0.258,Zhejiang,China
1948-12-01,10.298,0.7909999999999999,Zhejiang,China
1949-01-01,4.5939999999999985,0.472,Zhejiang,China
1949-02-01,8.043,0.459,Zhejiang,China
1949-03-01,10.710999999999999,0.42,Zhejiang,China
1949-04-01,15.607000000000001,0.399,Zhejiang,China
1949-05-01,21.349,0.662,Zhejiang,China
1949-06-01,23.034000000000002,0.5329999999999999,Zhejiang,China
1949-07-01,27.182,0.467,Zhejiang,China
1949-08-01,26.934,0.398,Zhejiang,China
1949-09-01,25.048000000000002,0.262,Zhejiang,China
1949-10-01,18.212,0.436,Zhejiang,China
1949-11-01,13.003,0.677,Zhejiang,China
1949-12-01,8.827,0.642,Zhejiang,China
1950-01-01,7.775,0.482,Zhejiang,China
1950-02-01,5.904,0.361,Zhejiang,China
1950-03-01,11.137,0.481,Zhejiang,China
1950-04-01,15.338,0.6809999999999999,Zhejiang,China
1950-05-01,20.354,0.461,Zhejiang,China
1950-06-01,23.613000000000003,0.472,Zhejiang,China
1950-07-01,27.71,0.45,Zhejiang,China
1950-08-01,26.784,0.6509999999999999,Zhejiang,China
1950-09-01,23.3,0.423,Zhejiang,China
1950-10-01,19.184,0.49,Zhejiang,China
1950-11-01,12.376,0.495,Zhejiang,China
1950-12-01,5.693,0.5529999999999999,Zhejiang,China
1951-01-01,5.074,0.436,Zhejiang,China
1951-02-01,6.972,0.485,Zhejiang,China
1951-03-01,8.992,0.35700000000000004,Zhejiang,China
1951-04-01,14.044,0.401,Zhejiang,China
1951-05-01,21.284000000000002,0.327,Zhejiang,China
1951-06-01,23.867,0.5539999999999999,Zhejiang,China
1951-07-01,27.186999999999998,0.457,Zhejiang,China
1951-08-01,28.436999999999998,0.449,Zhejiang,China
1951-09-01,23.224,0.513,Zhejiang,China
1951-10-01,19.438,0.5379999999999999,Zhejiang,China
1951-11-01,13.067,0.544,Zhejiang,China
1951-12-01,9.386000000000001,0.36,Zhejiang,China
1952-01-01,6.3519999999999985,0.551,Zhejiang,China
1952-02-01,5.376,0.476,Zhejiang,China
1952-03-01,9.427999999999999,0.44,Zhejiang,China
1952-04-01,16.316,0.32299999999999995,Zhejiang,China
1952-05-01,20.961,0.441,Zhejiang,China
1952-06-01,24.687,0.393,Zhejiang,China
1952-07-01,27.336,0.262,Zhejiang,China
1952-08-01,27.381,0.349,Zhejiang,China
1952-09-01,24.011,0.311,Zhejiang,China
1952-10-01,17.433,0.445,Zhejiang,China
1952-11-01,15.200999999999999,0.445,Zhejiang,China
1952-12-01,5.779,0.259,Zhejiang,China
1953-01-01,4.932,0.322,Zhejiang,China
1953-02-01,7.361000000000001,0.266,Zhejiang,China
1953-03-01,10.875,0.33,Zhejiang,China
1953-04-01,14.279000000000002,0.335,Zhejiang,China
1953-05-01,20.616999999999997,0.259,Zhejiang,China
1953-06-01,25.036,0.257,Zhejiang,China
1953-07-01,29.358,0.301,Zhejiang,China
1953-08-01,28.755000000000006,0.389,Zhejiang,China
1953-09-01,22.645,0.292,Zhejiang,China
1953-10-01,19.201,0.232,Zhejiang,China
1953-11-01,13.62,0.266,Zhejiang,China
1953-12-01,8.772,0.229,Zhejiang,China
1954-01-01,6.749,0.272,Zhejiang,China
1954-02-01,6.78,0.215,Zhejiang,China
1954-03-01,8.466000000000001,0.387,Zhejiang,China
1954-04-01,15.255,0.131,Zhejiang,China
1954-05-01,20.151,0.153,Zhejiang,China
1954-06-01,23.29,0.271,Zhejiang,China
1954-07-01,26.546,0.261,Zhejiang,China
1954-08-01,27.539,0.328,Zhejiang,China
1954-09-01,23.951,0.258,Zhejiang,China
1954-10-01,17.874000000000002,0.16699999999999998,Zhejiang,China
1954-11-01,14.735,0.154,Zhejiang,China
1954-12-01,5.399,0.412,Zhejiang,China
1955-01-01,2.463,0.173,Zhejiang,China
1955-02-01,7.727,0.14,Zhejiang,China
1955-03-01,10.29,0.252,Zhejiang,China
1955-04-01,15.709000000000001,0.289,Zhejiang,China
1955-05-01,20.076,0.191,Zhejiang,China
1955-06-01,24.179000000000002,0.252,Zhejiang,China
1955-07-01,27.264,0.234,Zhejiang,China
1955-08-01,26.596999999999998,0.325,Zhejiang,China
1955-09-01,25.688000000000002,0.34600000000000003,Zhejiang,China
1955-10-01,17.061999999999998,0.287,Zhejiang,China
1955-11-01,11.373,0.242,Zhejiang,China
1955-12-01,9.017999999999999,0.307,Zhejiang,China
1956-01-01,4.299,0.24,Zhejiang,China
1956-02-01,5.938,0.322,Zhejiang,China
1956-03-01,9.717,0.302,Zhejiang,China
1956-04-01,16.285999999999998,0.3,Zhejiang,China
1956-05-01,18.758,0.29100000000000004,Zhejiang,China
1956-06-01,25.537,0.165,Zhejiang,China
1956-07-01,29.099,0.2,Zhejiang,China
1956-08-01,27.289,0.32,Zhejiang,China
1956-09-01,23.408,0.28,Zhejiang,China
1956-10-01,17.503999999999998,0.24,Zhejiang,China
1956-11-01,10.622,0.454,Zhejiang,China
1956-12-01,6.325,0.333,Zhejiang,China
1957-01-01,6.256,0.199,Zhejiang,China
1957-02-01,3.389,0.258,Zhejiang,China
1957-03-01,9.299,0.249,Zhejiang,China
1957-04-01,15.919,0.466,Zhejiang,China
1957-05-01,19.393,0.276,Zhejiang,China
1957-06-01,23.447,0.409,Zhejiang,China
1957-07-01,28.789,0.525,Zhejiang,China
1957-08-01,27.059,0.782,Zhejiang,China
1957-09-01,21.779,0.498,Zhejiang,China
1957-10-01,16.924,0.411,Zhejiang,China
1957-11-01,14.128,0.33,Zhejiang,China
1957-12-01,8.762,0.151,Zhejiang,China
1958-01-01,4.231999999999998,0.354,Zhejiang,China
1958-02-01,5.9639999999999995,0.301,Zhejiang,China
1958-03-01,11.609000000000002,0.203,Zhejiang,China
1958-04-01,17.211,0.25,Zhejiang,China
1958-05-01,19.281,0.219,Zhejiang,China
1958-06-01,24.485,0.407,Zhejiang,China
1958-07-01,28.344,0.452,Zhejiang,China
1958-08-01,27.006,0.278,Zhejiang,China
1958-09-01,23.415,0.255,Zhejiang,China
1958-10-01,16.352,0.21600000000000005,Zhejiang,China
1958-11-01,12.061,0.267,Zhejiang,China
1958-12-01,8.497,0.35600000000000004,Zhejiang,China
1959-01-01,3.861,0.342,Zhejiang,China
1959-02-01,7.221,0.205,Zhejiang,China
1959-03-01,12.232999999999999,0.242,Zhejiang,China
1959-04-01,16.132,0.334,Zhejiang,China
1959-05-01,19.79,0.14400000000000002,Zhejiang,China
1959-06-01,23.923000000000002,0.206,Zhejiang,China
1959-07-01,27.958000000000002,0.363,Zhejiang,China
1959-08-01,28.040000000000006,0.192,Zhejiang,China
1959-09-01,23.33,0.263,Zhejiang,China
1959-10-01,18.603,0.41,Zhejiang,China
1959-11-01,13.074000000000002,0.284,Zhejiang,China
1959-12-01,8.654,0.25,Zhejiang,China
1960-01-01,5.627000000000001,0.242,Zhejiang,China
1960-02-01,8.721,0.304,Zhejiang,China
1960-03-01,13.107000000000001,0.09,Zhejiang,China
1960-04-01,14.981,0.228,Zhejiang,China
1960-05-01,19.532,0.34600000000000003,Zhejiang,China
1960-06-01,24.406,0.231,Zhejiang,China
1960-07-01,28.49,0.284,Zhejiang,China
1960-08-01,26.497,0.442,Zhejiang,China
1960-09-01,24.513,0.215,Zhejiang,China
1960-10-01,18.072,0.273,Zhejiang,China
1960-11-01,13.413,0.252,Zhejiang,China
1960-12-01,6.1869999999999985,0.121,Zhejiang,China
1961-01-01,4.793,0.256,Zhejiang,China
1961-02-01,5.937,0.349,Zhejiang,China
1961-03-01,10.644,0.307,Zhejiang,China
1961-04-01,16.299,0.305,Zhejiang,China
1961-05-01,20.250999999999998,0.341,Zhejiang,China
1961-06-01,25.694000000000003,0.35700000000000004,Zhejiang,China
1961-07-01,28.845,0.348,Zhejiang,China
1961-08-01,28.159,0.256,Zhejiang,China
1961-09-01,24.680999999999997,0.16699999999999998,Zhejiang,China
1961-10-01,18.852,0.325,Zhejiang,China
1961-11-01,14.735999999999999,0.196,Zhejiang,China
1961-12-01,8.078,0.262,Zhejiang,China
1962-01-01,3.319,0.278,Zhejiang,China
1962-02-01,7.851,0.35200000000000004,Zhejiang,China
1962-03-01,9.939,0.193,Zhejiang,China
1962-04-01,14.556,0.255,Zhejiang,China
1962-05-01,19.673,0.17600000000000002,Zhejiang,China
1962-06-01,23.612,0.473,Zhejiang,China
1962-07-01,28.099,0.26,Zhejiang,China
1962-08-01,27.522,0.202,Zhejiang,China
1962-09-01,24.322,0.37,Zhejiang,China
1962-10-01,18.046,0.364,Zhejiang,China
1962-11-01,12.321,0.182,Zhejiang,China
1962-12-01,7.619,0.3670000000000001,Zhejiang,China
1963-01-01,2.765,0.312,Zhejiang,China
1963-02-01,5.534,0.242,Zhejiang,China
1963-03-01,11.229000000000001,0.191,Zhejiang,China
1963-04-01,16.736,0.355,Zhejiang,China
1963-05-01,22.544,0.365,Zhejiang,China
1963-06-01,23.874000000000002,0.261,Zhejiang,China
1963-07-01,27.8,0.316,Zhejiang,China
1963-08-01,27.805999999999997,0.278,Zhejiang,China
1963-09-01,24.726,0.328,Zhejiang,China
1963-10-01,17.307000000000002,0.16399999999999998,Zhejiang,China
1963-11-01,14.13,0.295,Zhejiang,China
1963-12-01,8.071,0.115,Zhejiang,China
1964-01-01,6.228,0.134,Zhejiang,China
1964-02-01,3.352,0.25,Zhejiang,China
1964-03-01,10.685,0.112,Zhejiang,China
1964-04-01,18.516,0.359,Zhejiang,China
1964-05-01,20.234,0.197,Zhejiang,China
1964-06-01,23.295,0.276,Zhejiang,China
1964-07-01,28.913,0.414,Zhejiang,China
1964-08-01,27.641,0.26,Zhejiang,China
1964-09-01,25.491,0.184,Zhejiang,China
1964-10-01,19.073,0.324,Zhejiang,China
1964-11-01,12.39,0.189,Zhejiang,China
1964-12-01,7.127000000000001,0.151,Zhejiang,China
1965-01-01,6.807,0.168,Zhejiang,China
1965-02-01,7.729,0.179,Zhejiang,China
1965-03-01,9.327,0.294,Zhejiang,China
1965-04-01,14.175999999999998,0.122,Zhejiang,China
1965-05-01,20.564,0.34600000000000003,Zhejiang,China
1965-06-01,22.634,0.537,Zhejiang,China
1965-07-01,27.851999999999997,0.35200000000000004,Zhejiang,China
1965-08-01,26.621,0.19,Zhejiang,China
1965-09-01,22.56,0.34,Zhejiang,China
1965-10-01,18.275,0.151,Zhejiang,China
1965-11-01,14.685,0.28300000000000003,Zhejiang,China
1965-12-01,6.143,0.338,Zhejiang,China
1966-01-01,6.291,0.231,Zhejiang,China
1966-02-01,8.568999999999999,0.184,Zhejiang,China
1966-03-01,12.302999999999999,0.295,Zhejiang,China
1966-04-01,15.777999999999999,0.122,Zhejiang,China
1966-05-01,20.233,0.246,Zhejiang,China
1966-06-01,23.667,0.217,Zhejiang,China
1966-07-01,27.519000000000002,0.279,Zhejiang,China
1966-08-01,28.116000000000003,0.28,Zhejiang,China
1966-09-01,21.953000000000003,0.251,Zhejiang,China
1966-10-01,18.683,0.341,Zhejiang,China
1966-11-01,13.675,0.17,Zhejiang,China
1966-12-01,7.058,0.17600000000000002,Zhejiang,China
1967-01-01,4.034,0.18,Zhejiang,China
1967-02-01,5.3839999999999995,0.476,Zhejiang,China
1967-03-01,11.065,0.234,Zhejiang,China
1967-04-01,15.505,0.146,Zhejiang,China
1967-05-01,21.334,0.183,Zhejiang,China
1967-06-01,24.882,0.261,Zhejiang,China
1967-07-01,28.263,0.469,Zhejiang,China
1967-08-01,29.379,0.35,Zhejiang,China
1967-09-01,23.914,0.401,Zhejiang,China
1967-10-01,18.09,0.181,Zhejiang,China
1967-11-01,13.588,0.161,Zhejiang,China
1967-12-01,3.252,0.34,Zhejiang,China
1968-01-01,4.923,0.172,Zhejiang,China
1968-02-01,2.977,0.5489999999999999,Zhejiang,China
1968-03-01,10.637,0.17600000000000002,Zhejiang,China
1968-04-01,15.321,0.156,Zhejiang,China
1968-05-01,20.25,0.145,Zhejiang,China
1968-06-01,23.35,0.316,Zhejiang,China
1968-07-01,26.881,0.316,Zhejiang,China
1968-08-01,27.509,0.199,Zhejiang,China
1968-09-01,24.202,0.262,Zhejiang,China
1968-10-01,17.596,0.238,Zhejiang,China
1968-11-01,14.423,0.21,Zhejiang,China
1968-12-01,10.982000000000001,0.154,Zhejiang,China
1969-01-01,5.346,0.202,Zhejiang,China
1969-02-01,3.802,0.339,Zhejiang,China
1969-03-01,9.517000000000001,0.203,Zhejiang,China
1969-04-01,16.619,0.3670000000000001,Zhejiang,China
1969-05-01,21.351,0.28800000000000003,Zhejiang,China
1969-06-01,22.715,0.284,Zhejiang,China
1969-07-01,27.288,0.158,Zhejiang,China
1969-08-01,27.596,0.311,Zhejiang,China
1969-09-01,24.956,0.166,Zhejiang,China
1969-10-01,17.964000000000002,0.215,Zhejiang,China
1969-11-01,11.132,0.241,Zhejiang,China
1969-12-01,6.346,0.198,Zhejiang,China
1970-01-01,3.2560000000000002,0.315,Zhejiang,China
1970-02-01,7.909,0.237,Zhejiang,China
1970-03-01,7.122000000000001,0.44,Zhejiang,China
1970-04-01,14.314,0.256,Zhejiang,China
1970-05-01,20.55,0.231,Zhejiang,China
1970-06-01,23.05,0.269,Zhejiang,China
1970-07-01,27.226,0.195,Zhejiang,China
1970-08-01,28.059,0.268,Zhejiang,China
1970-09-01,24.689,0.245,Zhejiang,China
1970-10-01,18.465999999999998,0.214,Zhejiang,China
1970-11-01,12.585,0.122,Zhejiang,China
1970-12-01,8.21,0.212,Zhejiang,China
1971-01-01,4.144,0.203,Zhejiang,China
1971-02-01,6.337000000000001,0.29100000000000004,Zhejiang,China
1971-03-01,9.474,0.16899999999999998,Zhejiang,China
1971-04-01,16.028,0.193,Zhejiang,China
1971-05-01,20.261,0.233,Zhejiang,China
1971-06-01,25.72,0.225,Zhejiang,China
1971-07-01,29.266,0.398,Zhejiang,China
1971-08-01,28.21,0.34600000000000003,Zhejiang,China
1971-09-01,23.131,0.228,Zhejiang,China
1971-10-01,16.595,0.128,Zhejiang,China
1971-11-01,12.742,0.127,Zhejiang,China
1971-12-01,7.42,0.134,Zhejiang,China
1972-01-01,6.340999999999998,0.265,Zhejiang,China
1972-02-01,3.677,0.318,Zhejiang,China
1972-03-01,11.116,0.224,Zhejiang,China
1972-04-01,14.668,0.281,Zhejiang,China
1972-05-01,20.33,0.117,Zhejiang,China
1972-06-01,24.4,0.23,Zhejiang,China
1972-07-01,26.803,0.379,Zhejiang,China
1972-08-01,26.66,0.268,Zhejiang,China
1972-09-01,22.862,0.29,Zhejiang,China
1972-10-01,18.2,0.236,Zhejiang,China
1972-11-01,13.280999999999999,0.152,Zhejiang,China
1972-12-01,7.484,0.276,Zhejiang,China
1973-01-01,5.454,0.376,Zhejiang,China
1973-02-01,8.936,0.308,Zhejiang,China
1973-03-01,11.591,0.338,Zhejiang,China
1973-04-01,17.224,0.258,Zhejiang,China
1973-05-01,19.397000000000002,0.314,Zhejiang,China
1973-06-01,23.368000000000002,0.14400000000000002,Zhejiang,China
1973-07-01,27.334,0.282,Zhejiang,China
1973-08-01,27.831000000000003,0.293,Zhejiang,China
1973-09-01,22.59,0.239,Zhejiang,China
1973-10-01,17.762,0.193,Zhejiang,China
1973-11-01,12.356,0.131,Zhejiang,China
1973-12-01,5.852,0.21600000000000005,Zhejiang,China
1974-01-01,4.5699999999999985,0.322,Zhejiang,China
1974-02-01,5.279,0.35200000000000004,Zhejiang,China
1974-03-01,10.297,0.183,Zhejiang,China
1974-04-01,16.862000000000002,0.177,Zhejiang,China
1974-05-01,21.014,0.281,Zhejiang,China
1974-06-01,23.364,0.202,Zhejiang,China
1974-07-01,26.869,0.231,Zhejiang,China
1974-08-01,26.398000000000003,0.336,Zhejiang,China
1974-09-01,23.203000000000003,0.206,Zhejiang,China
1974-10-01,18.339000000000002,0.133,Zhejiang,China
1974-11-01,13.575999999999999,0.455,Zhejiang,China
1974-12-01,7.25,0.308,Zhejiang,China
1975-01-01,6.425,0.245,Zhejiang,China
1975-02-01,7.5920000000000005,0.179,Zhejiang,China
1975-03-01,10.213,0.18,Zhejiang,China
1975-04-01,15.752,0.106,Zhejiang,China
1975-05-01,19.101,0.246,Zhejiang,China
1975-06-01,23.92,0.215,Zhejiang,China
1975-07-01,27.449,0.339,Zhejiang,China
1975-08-01,27.359,0.319,Zhejiang,China
1975-09-01,25.969,0.282,Zhejiang,China
1975-10-01,19.253,0.234,Zhejiang,China
1975-11-01,12.226,0.33,Zhejiang,China
1975-12-01,5.099,0.285,Zhejiang,China
